GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
Dgki,2003.441211,-0.558699243,0.169106128,-3.303837956,0.000953709,0.035708975,0.678914007
Eml1,3057.398319,-0.464242559,0.140586062,-3.302194779,0.000959314,0.035712404,0.724851537
Tspan14,396.2096659,-0.340793965,0.103185521,-3.302730493,0.000957484,0.035712404,0.789606644
Cep112,38.6234979,-0.753355156,0.228335336,-3.299336712,0.000969136,0.035974658,0.593222344
Atxn1,44.92482172,-0.723479386,0.21961277,-3.294341151,0.000986527,0.036515587,0.605635053
Atp6v1a,1009.306528,-0.363938718,0.110556831,-3.291870031,0.000995236,0.036732996,0.777040275
Trpa1,620.7185734,-0.34395557,0.104541384,-3.290137893,0.001001383,0.036854876,0.78787815
Trpm6,22.22362667,-0.751556832,0.22856923,-3.288092769,0.001008686,0.037018489,0.593962259
Hrh1,30.8381354,-0.710416765,0.216312126,-3.284220714,0.001022648,0.037166232,0.611143567
Kif26b,775.2986358,-0.332730318,0.101324879,-3.283796859,0.001024187,0.037166232,0.794032345
Mrgpra3,139.4014523,-0.699492915,0.213003834,-3.28394518,0.001023648,0.037166232,0.615788609
Peli1,28.0822708,0.733582637,0.22339303,3.283820621,0.001024101,0.037166232,1.6627631
RP23-357P12.1,157.6656552,0.516027313,0.157448165,3.27744253,0.001047521,0.037906783,1.430012059
Agtr1a,125.2869247,-0.711841069,0.217310928,-3.275680034,0.001054079,0.038037867,0.610540511
Ddx26b,166.2244232,0.487569864,0.149107932,3.269912326,0.001075808,0.03861245,1.402081162
Ddx42,463.6677172,-0.395538829,0.120964631,-3.269871756,0.001075963,0.03861245,0.760205396
Eno1,887.7107542,-0.444502445,0.136143645,-3.264951838,0.001094827,0.039072955,0.734837703
Luc7l2,603.5362989,0.346548524,0.106118623,3.265671121,0.00109205,0.039072955,1.271515038
Bmp1,156.5983624,0.574766441,0.17640814,3.258162814,0.00112136,0.039909959,1.489436317
Zfp236,459.8096403,0.754656891,0.232159272,3.250599833,0.001151618,0.040874561,1.68723028
Adgrg1,1532.60194,-0.324367118,0.099908041,-3.246656766,0.001167691,0.041218709,0.798648661
Gnas,8516.684708,-0.309157698,0.095214142,-3.246972457,0.001166397,0.041218709,0.807112846
Nwd2,664.7510626,-0.27470687,0.084632337,-3.24588543,0.001170859,0.041218709,0.826618255
RP23-310J6.1,39.78193158,0.666609922,0.205549091,3.243069184,0.001182495,0.041515506,1.587338617
Abca3,463.5392785,-0.4246126,0.131040313,-3.240320417,0.001193955,0.041804543,0.745038766
Pld3,1265.682183,-0.311188559,0.096091582,-3.238458062,0.001201777,0.041965012,0.805977484
Rgs6,277.3081867,0.590717105,0.1825704,3.235557927,0.001214052,0.042279704,1.505995131
Rasgef1a,349.5337268,-0.396270253,0.122538429,-3.233844724,0.001221358,0.042420102,0.759820082
Slc38a11,22.56884378,0.766214616,0.237022719,3.232663173,0.001226421,0.042482033,1.700801313
Galnt5,280.7968238,-0.486889262,0.150719579,-3.23043141,0.001236036,0.042700909,0.713562022
Paqr6,168.1492966,0.434427136,0.134634339,3.226718675,0.001252185,0.043143771,1.351374124
Kcnk12,140.7988287,-0.544353256,0.169016647,-3.220707935,0.001278744,0.043941983,0.685698725
Ctsl,2276.352312,-0.465741789,0.14473289,-3.217940224,0.001291147,0.04413407,0.724098673
Malat1,40870.9999,0.508929295,0.158137632,3.218268101,0.001289672,0.04413407,1.42299372
Fbln1,44.59608631,0.762405898,0.237016115,3.216683797,0.001296814,0.044211133,1.696317116
Vangl1,52.18331296,0.713556402,0.222062733,3.213310005,0.001312146,0.044499604,1.639841528
Zfp276,67.43216348,0.696171896,0.216606658,3.213991212,0.001309037,0.044499604,1.620199981
Bbx,532.9624232,-0.364481335,0.113548615,-3.209914415,0.001327745,0.044869535,0.776748074
Lifr,7921.890264,-0.295448321,0.0920563,-3.209430749,0.001329981,0.044869535,0.814819086
Deaf1,290.0189349,-0.405082968,0.126279041,-3.207840073,0.001337358,0.045001243,0.755192861
Jak1,3098.475684,-0.324960144,0.101406223,-3.204538482,0.001352792,0.045402645,0.79832044
Eepd1,890.0112947,-0.32384725,0.101120142,-3.202598859,0.001361935,0.045591405,0.798936502
Tubb2a,5904.912271,-0.223387735,0.069846378,-3.198272283,0.001382537,0.046161762,0.856551719
Hs6st2,210.2388995,-0.606675279,0.189774304,-3.196825205,0.001389491,0.046245457,0.656708358
Ica1l,93.25670528,-0.557197231,0.174327506,-3.196266872,0.001392183,0.046245457,0.679621203
Cyp2j12,43.324721,-0.680593017,0.21325938,-3.191386085,0.001415919,0.046793967,0.623908765
Inpp4a,371.8048566,-0.386959498,0.12124097,-3.191656243,0.001414596,0.046793967,0.764739608
Ccp110,732.1150627,-0.276364253,0.086730198,-3.186482438,0.001440142,0.047046366,0.825669173
Efna1,125.2443475,-0.483246244,0.15163638,-3.186875355,0.001438187,0.047046366,0.715366149
RP24-353D23.1,579.9343477,-0.396007639,0.124265685,-3.186781925,0.001438652,0.047046366,0.759958404
Sema4b,415.9324103,-0.384430719,0.120656179,-3.186166863,0.001441714,0.047046366,0.766081231
Siah3,199.9456476,-0.401045585,0.125774205,-3.188615551,0.001429559,0.047046366,0.757309229
Srd5a3,121.9590964,-0.581632681,0.18275058,-3.182658467,0.001459296,0.047500463,0.668207147
Galnt16,196.0417255,0.475170469,0.149380158,3.180947695,0.001467941,0.047662104,1.390082463
Lbp,153.7926385,0.692294233,0.217748866,3.179324166,0.001476189,0.047810071,1.615851069
Ddr2,257.4119869,0.691885502,0.21774552,3.17749593,0.001485528,0.047992549,1.615393346
