,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
RP23-317F9.4,0,0,0,0,0,2.127957794,0,0
RP23-317F9.7,0,0,0,0,0,0,1.024079934,0.952633389
RP23-317H14.1,10.64939848,2.055645606,0,1.118089734,3.067946167,3.191936691,1.024079934,4.763166943
RP23-317I8.1,8.874498737,9.250405229,11.08468499,10.06280761,2.045297444,6.383873382,8.19263947,3.810533554
RP23-317I8.2,0,0,0,1.118089734,0,0,0,0
RP23-317I8.3,0,0,0,0,0,0,0,0
RP23-317L18.1,0,2.055645606,0,0,1.022648722,1.063978897,1.024079934,0
RP23-317L18.3,3.549799495,0,0,2.236179468,3.067946167,4.255915588,2.048159867,2.857900166
RP23-317L18.4,4.437249369,4.111291213,1.847447499,3.354269202,0,2.127957794,9.216719403,3.810533554
RP23-317M11.4,2.662349621,1.027822803,3.694894998,5.59044867,1.022648722,4.255915588,2.048159867,2.857900166
RP23-317M11.9,2.662349621,2.055645606,0.92372375,0,1.022648722,0,0,3.810533554
RP23-317M2.1,0.887449874,0,0,0,0,0,0,0
RP23-317M2.2,0,0,0.92372375,0,0,0,0,0.952633389
RP23-317M3.1,5.324699242,5.139114016,3.694894998,6.708538404,0,10.63978897,6.144479602,6.66843372
RP23-317M3.2,0,0,0,0,0,0,2.048159867,0
RP23-317N1.2,11.64079862,2.387935561,0.530125876,0,0,1.91439103,9.898677712,1.691213366
RP23-317N1.7,0.887449874,2.055645606,0.92372375,2.236179468,1.022648722,1.063978897,4.096319735,0
RP23-317N1.8,3.549799495,4.111291213,1.847447499,1.118089734,2.045297444,2.127957794,2.048159867,0.952633389
RP23-317N11.1,9.761948611,19.52863326,35.10150248,20.12561521,11.24913594,20.21559904,27.65015821,20.00530116
RP23-317N11.6,0,0,0,0,0,0,0,0
RP23-317N11.7,40.21499372,54.64540323,0,18.24826947,0,62.79575515,74.61415841,23.91979581
RP23-318B18.1,0.887449874,0,0,0,1.022648722,1.063978897,1.024079934,0.952633389
RP23-318B18.2,0,2.055645606,0.92372375,0,0,4.255915588,2.048159867,0
RP23-318D14.1,2.662349621,2.055645606,1.847447499,1.118089734,2.045297444,0,1.024079934,0
RP23-318H20.2,0,0,0,0,0,0,1.024079934,0
RP23-318H20.3,7.09959899,8.222582425,5.542342497,11.18089734,9.2038385,7.447852279,2.048159867,2.857900166
RP23-318H22.1,0,0,0,0,0,0,0,0
RP23-318I19.1,1.774899747,2.055645606,0,3.354269202,0,2.127957794,0,2.857900166
RP23-318I19.2,7.987048864,5.139114016,6.466066247,6.708538404,8.181189778,9.575810074,9.216719403,6.66843372
RP23-318J20.2,0,0,0,0,0,0,0,0
RP23-318K2.1,0,0,0,0,0,0,0,0
RP23-318K2.2,0,0,0,0,1.022648722,0,0,0
RP23-318L10.1,0,0,0,0,1.022648722,0,0,0
RP23-318M11.2,21.29879697,17.47298765,16.62702749,29.07033308,29.65681295,30.85538801,15.36119901,22.86320133
RP23-318O24.1,0,3.08346841,0,1.118089734,1.022648722,1.063978897,4.096319735,0
RP23-318O7.2,0,0,0,1.118089734,0,0,0,0
RP23-318O7.3,0.887449874,0,0,0,1.022648722,0,0,0
RP23-318O7.5,0,0,0,1.118089734,0,0,1.024079934,0.952633389
